"ROUND","SEX","COMM","AGEYRS","COUNT","TOTAL_COUNT"
"R011","F","inland",15,0,115
"R012","F","inland",16,7,162
"R010","M","inland",15,0,64
"R011","M","inland",16,0,115
"R013","M","inland",19,2,137
"R014","M","inland",21,3,134
"R015","F","fishing",25,56,104
"R015S","F","fishing",25,44,95
"R016","F","fishing",27,45,86
"R017","F","fishing",28,49,96
"R016","M","inland",25,17,209
"R013","F","inland",20,17,157
"R015","M","fishing",35,30,87
"R015S","M","fishing",36,21,56
"R017","F","inland",27,48,258
"R016","F","fishing",25,30,81
"R017","F","fishing",26,50,111
"R018","F","fishing",28,51,104
"R018","F","fishing",27,42,101
"R011","M","inland",15,0,104
"R015","M","inland",23,17,210
"R016","M","inland",24,11,202
"R017","M","inland",26,16,221
"R018","M","inland",28,12,200
"R018","F","inland",27,44,271
"R012","M","inland",17,0,143
"R013","M","inland",18,2,146
"R014","M","inland",20,5,143
"R015","M","inland",22,9,210
"R017","M","inland",25,9,232
"R018","M","inland",27,7,183
"R015","F","fishing",22,25,68
"R015S","F","fishing",23,40,88
"R012","M","inland",16,1,160
"R015","M","inland",21,3,180
"R016","M","inland",23,6,182
"R016","F","fishing",24,39,76
"R014","F","inland",20,12,189
"R017","F","inland",25,53,308
"R015","F","fishing",20,27,67
"R017","F","inland",24,44,279
"R018","F","inland",25,33,259
"R015","F","inland",23,45,283
"R016","F","inland",25,39,249
"R013","F","inland",17,3,157
"R013","F","inland",16,2,161
"R014","F","inland",18,9,195
"R013","M","inland",16,2,209
"R014","M","inland",18,4,191
"R015","M","fishing",30,44,111
"R016","M","fishing",32,37,81
"R017","M","fishing",33,45,101
"R015","F","fishing",34,34,55
